States,Crops,Yield (Kg./Hectare) - 2017-18,Yield (Kg./Hectare) - 2018-19,Yield (Kg./Hectare) - 2019-20,Yield (Kg./Hectare) - 2020-21,Yield (Kg./Hectare) - 2021-22
Uttar Pradesh,Oilseeds,1054,1079,908,1066,1083
Uttarakhand,Oilseeds,916,938,965,970,918
West Bengal,Oilseeds,1198,1255,1060,1189,1182
Others,Oilseeds,947,1015,967,923,1012
All India,Oilseeds,1284,1271,1224,1247,1339
Andhra Pradesh,Sugarcane,78683,79359,78186,75248,77748
Assam,Sugarcane,37402,35063,41010,35845,37257
Bihar,Sugarcane,59138,89181,60649,54766,66249
Chhattisgarh,Sugarcane,48070,44340,50000,55670,56960
Gujarat,Sugarcane,66330,73182,71890,77327,78307
Haryana,Sugarcane,84499,78243,80274,86179,81231
Himachal Pradesh,Sugarcane,19600,19600,19971,15447,15447
Karnataka,Sugarcane,84081,90000,89000,96000,96000
Kerala,Sugarcane,109840,105050,127190,115810,129950
Madhya Pradesh,Sugarcane,55408,48905,59470,57270,58000
Maharashtra,Sugarcane,92000,77200,84280,92000,92000
Odisha,Sugarcane,64704,61622,56423,54473,54399
Punjab,Sugarcane,83580,81828,80242,83841,85339
Rajasthan,Sugarcane,70364,83448,73038,79111,58215
Tamil Nadu,Sugarcane,99814,103000,107615,104030,100000
Telangana,Sugarcane,74413,79590,77418,79590,76401
Uttar Pradesh,Sugarcane,79245,80807,81313,81807,81500
Uttarakhand,Sugarcane,69682,69553,75410,80000,80000
West Bengal,Sugarcane,75000,84485,79657,75427,80000
Others,Sugarcane,56913,52122,52312,53265,55981
All India,Sugarcane,80198,80105,80497,83566,84443
Andhra Pradesh,Cotton,549,409,649,449,471
Gujarat,Cotton,660,401,552,540,572
Haryana,Cotton,416,483,584,419,352
Karnataka,Cotton,573,331,485,481,490
Madhya Pradesh,Cotton,457,645,430,387,431
Maharashtra,Cotton,238,266,251,378,306
Odisha,Cotton,478,493,579,547,502
Punjab,Cotton,750,775,827,691,432
Rajasthan,Cotton,551,548,624,675,558
Tamil Nadu,Cotton,413,344,418,369,344
Telangana,Cotton,466,356,546,418,546
Others,Cotton,415,401,321,275,261
All India,Cotton,443,378,455,451,445
Andhra Pradesh,Jute & Mesta,1700,1820,1918,1880,1978
Assam,Jute & Mesta,2114,2036,2165,2166,2117
Bihar,Jute & Mesta,2211,2293,2325,2561,2368
Chhattisgarh,Jute & Mesta,347,349,357,358,368
Odisha,Jute & Mesta,1105,1560,938,1148,1680
West Bengal,Jute & Mesta,2616,2644,2805,2635,2867
Others,Jute & Mesta,1131,1553,1451,1540,1510
All India,Jute & Mesta,2435,2508,2641,2542,2685
